activation,model_type,corruption_mode,p,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
tanh,mlp,binary_replacement,0.1,100,0.979752,0.0014631117523962423,0.00014631117523962423,0.07191482969824219,0.003790367164675015,0.0003790367164675015
tanh,mlp,binary_replacement,0.15000000000000002,100,0.975828,0.0010480534337523133,0.00010480534337523134,0.08169402695125318,0.004796906344267402,0.0004796906344267402
tanh,mlp,binary_replacement,0.2,100,0.974272,0.00121384348249682,0.00012138434824968201,0.08608025066051725,0.003716754720870704,0.0003716754720870704
tanh,mlp,binary_replacement,0.25,100,0.9708060000000001,0.0011413868756911462,0.00011413868756911462,0.09515973959400505,0.00423805862584155,0.000423805862584155
tanh,mlp,binary_replacement,0.30000000000000004,100,0.965143,0.0021120726786737344,0.00021120726786737345,0.11272270820152759,0.00794718233167292,0.000794718233167292
tanh,mlp,binary_replacement,0.35000000000000003,100,0.960614,0.0029104989263011058,0.0002910498926301106,0.1271569501792863,0.007729823059403466,0.0007729823059403466
tanh,mlp,binary_replacement,0.4,100,0.954253,0.0018462099013925911,0.0001846209901392591,0.14840876726768165,0.007301595369688127,0.0007301595369688127
tanh,mlp,binary_replacement,0.45,100,0.945153,0.0028980495164851712,0.0002898049516485171,0.18016598273812234,0.009913859538399105,0.0009913859538399105
tanh,mlp,binary_replacement,0.5,100,0.935004,0.0021929395796510182,0.00021929395796510182,0.21515376722493768,0.0071159690041372224,0.0007115969004137222
tanh,mlp,binary_replacement,0.55,100,0.9185490000000001,0.005347606847927387,0.0005347606847927387,0.2688908934980631,0.016352728848056133,0.0016352728848056132
tanh,mlp,binary_replacement,0.6000000000000001,100,0.904452,0.006008135817372985,0.0006008135817372985,0.31548862554848195,0.017620413246190854,0.0017620413246190853
tanh,mlp,binary_replacement,0.65,100,0.882736,0.00541515503009838,0.000541515503009838,0.3791242704230547,0.01619890659701009,0.001619890659701009
tanh,mlp,binary_replacement,0.7000000000000001,100,0.862313,0.005601118727540073,0.0005601118727540073,0.45112048773622515,0.009978310331628003,0.0009978310331628004
tanh,mlp,binary_replacement,0.75,100,0.837551,0.0054554833882984165,0.0005455483388298417,0.5356133572473526,0.007215325853818296,0.0007215325853818296
tanh,mlp,binary_replacement,0.8,100,0.800564,0.009193623007280641,0.0009193623007280642,0.6580462565994263,0.011741107263039698,0.0011741107263039698
tanh,mlp,binary_replacement,0.8500000000000001,100,0.767688,0.009743031150519832,0.0009743031150519832,0.8636096289234161,0.019205071854846163,0.0019205071854846163
tanh,mlp,binary_replacement,0.9,100,0.74837,0.010875490793522851,0.001087549079352285,1.20488043731308,0.019390262115674708,0.0019390262115674707
tanh,mlp,binary_replacement,0.9500000000000001,100,0.679148,0.02701181030586437,0.002701181030586437,1.7316170079860687,0.013317035783109003,0.0013317035783109003
tanh,mlp,binary_replacement,1.0,100,0.119572,0.011591549335615146,0.0011591549335615147,2.3052253867645263,0.005705268159342477,0.0005705268159342477
