activation,model_type,corruption_mode,p,sigma,seed,train_loss,test_loss,test_accuracy,brightness_scale,mlp_hidden_sizes
gelu,mlp,replacement,0.8,0.0,880276958,1.1152340900421143,3.30953790473938,0.796,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,426791605,1.1093031185785929,2.1326336098521947,0.8582,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,945240014,1.1051890503565471,6.45745444946289,0.7855,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,178479203,1.1156436934789022,11.416633026123048,0.7529,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,695041734,1.1180235900243123,3.786523133468628,0.8232,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,398695207,1.1085299646377564,2.717293140602112,0.8395,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,570317918,1.1010975612640381,3.544548134994507,0.813,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,507806233,1.1145836740493775,2.098100876235962,0.7846,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,469260357,1.116475159772237,1.6771868930816651,0.8,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,894192165,1.1022198656400044,4.523654793548584,0.7947,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,646106726,1.1156284138997397,16.77661460571289,0.7694,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,327647176,1.1136114006042481,2.809030753707886,0.795,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,57395734,1.11331465549469,10.219981892395019,0.7698,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,979072526,1.1036720889409384,9.888133403015138,0.772,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,316757661,1.1133591125806173,1.3759371070861817,0.7985,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,218031955,1.114845279566447,10.70288984375,0.757,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,801444847,1.11265971660614,4.93716428527832,0.7404,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,916705606,1.1070038475672404,9.512072409057618,0.7386,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,986525789,1.1164444252649943,6.412976217651368,0.7752,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,129086941,1.1106310082753499,1.6915980152130128,0.8241,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,773529015,1.1052307785987854,6.164572676086426,0.7845,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,562986831,1.1100759397506714,7.6608376258850095,0.785,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,678811341,1.1181238526980082,11.159384851074218,0.7564,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,534002382,1.111074824333191,7.372277767944336,0.7855,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,975106361,1.1073565242767334,9.181549087524415,0.7546,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,269604555,1.115111457824707,6.703645730590821,0.7745,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,370604601,1.1151937982559204,4.32896141872406,0.8246,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,855026326,1.1124694863001505,14.518481576538086,0.7063,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,549499278,1.482214746348063,3.9465360733032226,0.7463,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,131713225,1.4786429896036783,5.124720351409912,0.75,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,96939757,1.4925888028462728,5.474024855041504,0.769,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,356950078,1.4842658818562826,2.013770722961426,0.7754,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,716577286,1.1136060764948528,2.623090570259094,0.8027,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,515407648,1.1087196756998698,4.9666379425048826,0.7888,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,935929949,1.4919737325032552,5.233694556427002,0.7733,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,207673583,1.4812555883407592,4.984598705291748,0.7188,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,687596652,1.108480213578542,6.606612293243408,0.7442,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,340796310,1.4896749031066894,6.61431925201416,0.7548,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,215345560,1.4828408876419068,1.279926234817505,0.7945,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,53892048,1.1073920238812764,1.611599828338623,0.8147,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,534381025,1.480952040863037,7.277598246765137,0.7679,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,822890192,1.483578008333842,1.3513535490989685,0.8022,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,723925134,1.120012135219574,10.78185482788086,0.7826,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,689272444,1.482531551361084,4.590169801330567,0.7564,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,762840178,1.4824251653671265,8.431132772827148,0.6918,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,557214008,1.4873951670964558,9.307579258728028,0.6886,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,592310004,1.484323620669047,13.892495870971679,0.7191,1.0,"[128, 128]"
gelu,mlp,replacement,0.8500000000000001,0.0,123890637,1.4818947097142536,8.620495559692383,0.6873,1.0,"[128, 128]"
gelu,mlp,replacement,0.8,0.0,286733663,1.1094213504155477,3.523456513214111,0.8164,1.0,"[128, 128]"
